total_gold_earned_0, 62812
total_gold_spent_0, 58625
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 33
total_deaths_0, 27
total_damage_dealt_to_champions_0, 125616
total_damage_dealt_to_objectives_0, 33604
total_damage_taken_0, 152934
average_vision_score_0, 28
total_wards_placed_0, 64
average_creep_score_0, 129
average_champion_experience_0, 15292
dmg_carry_0, 131
obj_carry_0, 131
team_comp_0_champ_1, Renekton
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Swain
team_comp_0_champ_4, Varus
team_comp_0_champ_5, Lulu
total_gold_earned_1, 66066
total_gold_spent_1, 60150
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 2
total_kills_1, 27
total_deaths_1, 33
total_damage_dealt_to_champions_1, 118601
total_damage_dealt_to_objectives_1, 88511
total_damage_taken_1, 161322
average_vision_score_1, 29
total_wards_placed_1, 75
average_creep_score_1, 136
average_champion_experience_1, 15311
dmg_carry_1, 221
obj_carry_1, 221
team_comp_1_champ_1, Rumble
team_comp_1_champ_2, Hecarim
team_comp_1_champ_3, Gangplank
team_comp_1_champ_4, Zeri
team_comp_1_champ_5, Braum
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
