total_gold_earned_0, 75893
total_gold_spent_0, 63200
total_baron_kills_0, 1
total_dragon_kills_0, 5
total_inhibitor_kils_0, 2
total_kills_0, 46
total_deaths_0, 29
total_damage_dealt_to_champions_0, 120329
total_damage_dealt_to_objectives_0, 110927
total_damage_taken_0, 189073
average_vision_score_0, 52
total_wards_placed_0, 68
average_creep_score_0, 152
average_champion_experience_0, 19749
dmg_carry_0, 875
obj_carry_0, 875
team_comp_0_champ_1, Sett
team_comp_0_champ_2, Khazix
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Samira
team_comp_0_champ_5, Rell
total_gold_earned_1, 70182
total_gold_spent_1, 69033
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 29
total_deaths_1, 46
total_damage_dealt_to_champions_1, 143052
total_damage_dealt_to_objectives_1, 38836
total_damage_taken_1, 147432
average_vision_score_1, 34
total_wards_placed_1, 75
average_creep_score_1, 155
average_champion_experience_1, 16375
dmg_carry_1, 17
obj_carry_1, 17
team_comp_1_champ_1, Teemo
team_comp_1_champ_2, Hecarim
team_comp_1_champ_3, Diana
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Lux
gameLengthMin, 39
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 0
