total_gold_earned_0, 59050
total_gold_spent_0, 57125
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 36
total_deaths_0, 49
total_damage_dealt_to_champions_0, 106822
total_damage_dealt_to_objectives_0, 18781
total_damage_taken_0, 125050
average_vision_score_0, 23
total_wards_placed_0, 50
average_creep_score_0, 114
average_champion_experience_0, 13239
dmg_carry_0, 30
obj_carry_0, 30
team_comp_0_champ_1, MonkeyKing
team_comp_0_champ_2, Karthus
team_comp_0_champ_3, Gangplank
team_comp_0_champ_4, Samira
team_comp_0_champ_5, Zyra
total_gold_earned_1, 69786
total_gold_spent_1, 64250
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 4
total_kills_1, 49
total_deaths_1, 36
total_damage_dealt_to_champions_1, 99777
total_damage_dealt_to_objectives_1, 90552
total_damage_taken_1, 139821
average_vision_score_1, 36
total_wards_placed_1, 77
average_creep_score_1, 120
average_champion_experience_1, 16091
dmg_carry_1, 876
obj_carry_1, 876
team_comp_1_champ_1, Trundle
team_comp_1_champ_2, Lillia
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, Brand
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
