total_gold_earned_0, 60442
total_gold_spent_0, 51710
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 39
total_deaths_0, 24
total_damage_dealt_to_champions_0, 99757
total_damage_dealt_to_objectives_0, 59420
total_damage_taken_0, 115903
average_vision_score_0, 30
total_wards_placed_0, 65
average_creep_score_0, 113
average_champion_experience_0, 13937
dmg_carry_0, 166
obj_carry_0, 166
team_comp_0_champ_1, Sett
team_comp_0_champ_2, Malphite
team_comp_0_champ_3, Irelia
team_comp_0_champ_4, Akshan
team_comp_0_champ_5, Amumu
total_gold_earned_1, 48757
total_gold_spent_1, 45400
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 24
total_deaths_1, 39
total_damage_dealt_to_champions_1, 88422
total_damage_dealt_to_objectives_1, 34276
total_damage_taken_1, 119401
average_vision_score_1, 26
total_wards_placed_1, 58
average_creep_score_1, 102
average_champion_experience_1, 10918
dmg_carry_1, 76
obj_carry_1, 76
team_comp_1_champ_1, Nidalee
team_comp_1_champ_2, Poppy
team_comp_1_champ_3, Katarina
team_comp_1_champ_4, Ashe
team_comp_1_champ_5, Morgana
gameLengthMin, 28
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
