total_gold_earned_0, 46773
total_gold_spent_0, 36925
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 25
total_deaths_0, 12
total_damage_dealt_to_champions_0, 66807
total_damage_dealt_to_objectives_0, 55586
total_damage_taken_0, 81774
average_vision_score_0, 20
total_wards_placed_0, 46
average_creep_score_0, 98
average_champion_experience_0, 10609
dmg_carry_0, 85
obj_carry_0, 85
team_comp_0_champ_1, Kennen
team_comp_0_champ_2, Olaf
team_comp_0_champ_3, Jayce
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Senna
total_gold_earned_1, 34349
total_gold_spent_1, 43701
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 12
total_deaths_1, 25
total_damage_dealt_to_champions_1, 50597
total_damage_dealt_to_objectives_1, 12749
total_damage_taken_1, 84984
average_vision_score_1, 15
total_wards_placed_1, 38
average_creep_score_1, 77
average_champion_experience_1, 8228
dmg_carry_1, 62
obj_carry_1, 62
team_comp_1_champ_1, MonkeyKing
team_comp_1_champ_2, Rammus
team_comp_1_champ_3, Yone
team_comp_1_champ_4, TwistedFate
team_comp_1_champ_5, Morgana
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
