total_gold_earned_0, 68847
total_gold_spent_0, 63578
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 3
total_kills_0, 41
total_deaths_0, 38
total_damage_dealt_to_champions_0, 120890
total_damage_dealt_to_objectives_0, 80854
total_damage_taken_0, 143953
average_vision_score_0, 19
total_wards_placed_0, 37
average_creep_score_0, 141
average_champion_experience_0, 16018
dmg_carry_0, 141
obj_carry_0, 141
team_comp_0_champ_1, Nidalee
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Viktor
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Thresh
total_gold_earned_1, 66860
total_gold_spent_1, 59735
total_baron_kills_1, 1
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 38
total_deaths_1, 41
total_damage_dealt_to_champions_1, 115056
total_damage_dealt_to_objectives_1, 32367
total_damage_taken_1, 146011
average_vision_score_1, 27
total_wards_placed_1, 62
average_creep_score_1, 136
average_champion_experience_1, 15821
dmg_carry_1, 145
obj_carry_1, 145
team_comp_1_champ_1, Teemo
team_comp_1_champ_2, Nunu
team_comp_1_champ_3, Zed
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Pyke
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
