total_gold_earned_0, 70427
total_gold_spent_0, 66775
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 33
total_deaths_0, 29
total_damage_dealt_to_champions_0, 130276
total_damage_dealt_to_objectives_0, 96294
total_damage_taken_0, 134781
average_vision_score_0, 39
total_wards_placed_0, 90
average_creep_score_0, 135
average_champion_experience_0, 16898
dmg_carry_0, 15
obj_carry_0, 15
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, Ekko
team_comp_0_champ_3, Brand
team_comp_0_champ_4, Sivir
team_comp_0_champ_5, Lux
total_gold_earned_1, 60921
total_gold_spent_1, 57768
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 29
total_deaths_1, 33
total_damage_dealt_to_champions_1, 106351
total_damage_dealt_to_objectives_1, 54605
total_damage_taken_1, 158813
average_vision_score_1, 32
total_wards_placed_1, 57
average_creep_score_1, 133
average_champion_experience_1, 14641
dmg_carry_1, 2
obj_carry_1, 2
team_comp_1_champ_1, Olaf
team_comp_1_champ_2, Viego
team_comp_1_champ_3, Veigar
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Nami
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
