total_gold_earned_0, 68131
total_gold_spent_0, 60955
total_baron_kills_0, 2
total_dragon_kills_0, 5
total_inhibitor_kils_0, 3
total_kills_0, 32
total_deaths_0, 18
total_damage_dealt_to_champions_0, 106779
total_damage_dealt_to_objectives_0, 125652
total_damage_taken_0, 110519
average_vision_score_0, 31
total_wards_placed_0, 75
average_creep_score_0, 126
average_champion_experience_0, 16255
dmg_carry_0, 119
obj_carry_0, 119
team_comp_0_champ_1, Tryndamere
team_comp_0_champ_2, Kindred
team_comp_0_champ_3, Velkoz
team_comp_0_champ_4, Draven
team_comp_0_champ_5, Blitzcrank
total_gold_earned_1, 56538
total_gold_spent_1, 57598
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 17
total_deaths_1, 32
total_damage_dealt_to_champions_1, 69669
total_damage_dealt_to_objectives_1, 39599
total_damage_taken_1, 131303
average_vision_score_1, 22
total_wards_placed_1, 56
average_creep_score_1, 141
average_champion_experience_1, 13329
dmg_carry_1, 122
obj_carry_1, 122
team_comp_1_champ_1, Darius
team_comp_1_champ_2, Udyr
team_comp_1_champ_3, Vladimir
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, Janna
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
