total_gold_earned_0, 65835
total_gold_spent_0, 59350
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 3
total_kills_0, 35
total_deaths_0, 23
total_damage_dealt_to_champions_0, 76588
total_damage_dealt_to_objectives_0, 80256
total_damage_taken_0, 101778
average_vision_score_0, 31
total_wards_placed_0, 71
average_creep_score_0, 130
average_champion_experience_0, 15988
dmg_carry_0, 41
obj_carry_0, 41
team_comp_0_champ_1, Gangplank
team_comp_0_champ_2, LeeSin
team_comp_0_champ_3, Talon
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Brand
total_gold_earned_1, 53548
total_gold_spent_1, 49785
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 23
total_deaths_1, 35
total_damage_dealt_to_champions_1, 71795
total_damage_dealt_to_objectives_1, 29125
total_damage_taken_1, 102082
average_vision_score_1, 24
total_wards_placed_1, 58
average_creep_score_1, 123
average_champion_experience_1, 13711
dmg_carry_1, 876
obj_carry_1, 876
team_comp_1_champ_1, Lillia
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Zed
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
