total_gold_earned_0, 42326
total_gold_spent_0, 39843
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 15
total_deaths_0, 36
total_damage_dealt_to_champions_0, 52744
total_damage_dealt_to_objectives_0, 23459
total_damage_taken_0, 86405
average_vision_score_0, 22
total_wards_placed_0, 54
average_creep_score_0, 99
average_champion_experience_0, 8956
dmg_carry_0, 50
obj_carry_0, 50
team_comp_0_champ_1, Yorick
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Fizz
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Swain
total_gold_earned_1, 50924
total_gold_spent_1, 46543
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 36
total_deaths_1, 15
total_damage_dealt_to_champions_1, 67446
total_damage_dealt_to_objectives_1, 49557
total_damage_taken_1, 76290
average_vision_score_1, 24
total_wards_placed_1, 39
average_creep_score_1, 103
average_champion_experience_1, 11032
dmg_carry_1, 221
obj_carry_1, 221
team_comp_1_champ_1, Zilean
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Akali
team_comp_1_champ_4, Zeri
team_comp_1_champ_5, Rakan
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
