total_gold_earned_0, 83197
total_gold_spent_0, 77100
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 2
total_kills_0, 26
total_deaths_0, 20
total_damage_dealt_to_champions_0, 143508
total_damage_dealt_to_objectives_0, 92817
total_damage_taken_0, 142551
average_vision_score_0, 51
total_wards_placed_0, 90
average_creep_score_0, 193
average_champion_experience_0, 20414
dmg_carry_0, 145
obj_carry_0, 145
team_comp_0_champ_1, Yorick
team_comp_0_champ_2, Ekko
team_comp_0_champ_3, Talon
team_comp_0_champ_4, Kaisa
team_comp_0_champ_5, Nami
total_gold_earned_1, 71691
total_gold_spent_1, 70350
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 20
total_deaths_1, 26
total_damage_dealt_to_champions_1, 104340
total_damage_dealt_to_objectives_1, 65661
total_damage_taken_1, 178894
average_vision_score_1, 43
total_wards_placed_1, 87
average_creep_score_1, 190
average_champion_experience_1, 17881
dmg_carry_1, 15
obj_carry_1, 15
team_comp_1_champ_1, Garen
team_comp_1_champ_2, Shyvana
team_comp_1_champ_3, Ahri
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, Soraka
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
