total_gold_earned_0, 55916
total_gold_spent_0, 50683
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 34
total_deaths_0, 14
total_damage_dealt_to_champions_0, 82555
total_damage_dealt_to_objectives_0, 65499
total_damage_taken_0, 104116
average_vision_score_0, 30
total_wards_placed_0, 65
average_creep_score_0, 117
average_champion_experience_0, 12790
dmg_carry_0, 122
obj_carry_0, 122
team_comp_0_champ_1, Darius
team_comp_0_champ_2, Zac
team_comp_0_champ_3, Vladimir
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Lulu
total_gold_earned_1, 43938
total_gold_spent_1, 42450
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 14
total_deaths_1, 34
total_damage_dealt_to_champions_1, 76958
total_damage_dealt_to_objectives_1, 28843
total_damage_taken_1, 105319
average_vision_score_1, 22
total_wards_placed_1, 48
average_creep_score_1, 98
average_champion_experience_1, 10280
dmg_carry_1, 234
obj_carry_1, 234
team_comp_1_champ_1, Aatrox
team_comp_1_champ_2, Viego
team_comp_1_champ_3, Karma
team_comp_1_champ_4, Samira
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
