total_gold_earned_0, 72700
total_gold_spent_0, 63470
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 3
total_kills_0, 50
total_deaths_0, 28
total_damage_dealt_to_champions_0, 132469
total_damage_dealt_to_objectives_0, 89299
total_damage_taken_0, 154283
average_vision_score_0, 33
total_wards_placed_0, 73
average_creep_score_0, 126
average_champion_experience_0, 16242
dmg_carry_0, 51
obj_carry_0, 51
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Hecarim
team_comp_0_champ_3, Anivia
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Ahri
total_gold_earned_1, 63641
total_gold_spent_1, 61475
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 1
total_kills_1, 28
total_deaths_1, 50
total_damage_dealt_to_champions_1, 117035
total_damage_dealt_to_objectives_1, 52474
total_damage_taken_1, 159866
average_vision_score_1, 38
total_wards_placed_1, 80
average_creep_score_1, 115
average_champion_experience_1, 13922
dmg_carry_1, 122
obj_carry_1, 122
team_comp_1_champ_1, Darius
team_comp_1_champ_2, Taric
team_comp_1_champ_3, Kayle
team_comp_1_champ_4, Xayah
team_comp_1_champ_5, Velkoz
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
