total_gold_earned_0, 64988
total_gold_spent_0, 59100
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 43
total_deaths_0, 34
total_damage_dealt_to_champions_0, 111037
total_damage_dealt_to_objectives_0, 69695
total_damage_taken_0, 137696
average_vision_score_0, 32
total_wards_placed_0, 81
average_creep_score_0, 112
average_champion_experience_0, 15859
dmg_carry_0, 107
obj_carry_0, 107
team_comp_0_champ_1, Gwen
team_comp_0_champ_2, Rengar
team_comp_0_champ_3, Sylas
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Lulu
total_gold_earned_1, 57464
total_gold_spent_1, 55450
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 34
total_deaths_1, 43
total_damage_dealt_to_champions_1, 110547
total_damage_dealt_to_objectives_1, 36334
total_damage_taken_1, 138746
average_vision_score_1, 28
total_wards_placed_1, 49
average_creep_score_1, 109
average_champion_experience_1, 13513
dmg_carry_1, 142
obj_carry_1, 142
team_comp_1_champ_1, Tryndamere
team_comp_1_champ_2, Warwick
team_comp_1_champ_3, Zoe
team_comp_1_champ_4, Ashe
team_comp_1_champ_5, Vex
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
