total_gold_earned_0, 36277
total_gold_spent_0, 34083
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 13
total_deaths_0, 46
total_damage_dealt_to_champions_0, 64837
total_damage_dealt_to_objectives_0, 9240
total_damage_taken_0, 115668
average_vision_score_0, 13
total_wards_placed_0, 39
average_creep_score_0, 95
average_champion_experience_0, 8818
dmg_carry_0, 81
obj_carry_0, 81
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Trundle
team_comp_0_champ_3, Swain
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Urgot
total_gold_earned_1, 56653
total_gold_spent_1, 55122
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 2
total_kills_1, 46
total_deaths_1, 13
total_damage_dealt_to_champions_1, 98150
total_damage_dealt_to_objectives_1, 63734
total_damage_taken_1, 93661
average_vision_score_1, 18
total_wards_placed_1, 34
average_creep_score_1, 104
average_champion_experience_1, 12175
dmg_carry_1, 58
obj_carry_1, 58
team_comp_1_champ_1, Renekton
team_comp_1_champ_2, MonkeyKing
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Brand
team_comp_1_champ_5, Veigar
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
