total_gold_earned_0, 70503
total_gold_spent_0, 67845
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 46
total_deaths_0, 46
total_damage_dealt_to_champions_0, 139619
total_damage_dealt_to_objectives_0, 55375
total_damage_taken_0, 155579
average_vision_score_0, 33
total_wards_placed_0, 64
average_creep_score_0, 133
average_champion_experience_0, 17000
dmg_carry_0, 203
obj_carry_0, 203
team_comp_0_champ_1, Leblanc
team_comp_0_champ_2, Kindred
team_comp_0_champ_3, Mordekaiser
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Renata
total_gold_earned_1, 76503
total_gold_spent_1, 68875
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 3
total_kills_1, 46
total_deaths_1, 46
total_damage_dealt_to_champions_1, 129917
total_damage_dealt_to_objectives_1, 83884
total_damage_taken_1, 172795
average_vision_score_1, 22
total_wards_placed_1, 51
average_creep_score_1, 145
average_champion_experience_1, 17556
dmg_carry_1, 81
obj_carry_1, 81
team_comp_1_champ_1, Tryndamere
team_comp_1_champ_2, Nasus
team_comp_1_champ_3, Graves
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Blitzcrank
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
