total_gold_earned_0, 62091
total_gold_spent_0, 55285
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 35
total_deaths_0, 27
total_damage_dealt_to_champions_0, 103790
total_damage_dealt_to_objectives_0, 50911
total_damage_taken_0, 144647
average_vision_score_0, 34
total_wards_placed_0, 72
average_creep_score_0, 134
average_champion_experience_0, 15047
dmg_carry_0, 164
obj_carry_0, 164
team_comp_0_champ_1, Camille
team_comp_0_champ_2, Lillia
team_comp_0_champ_3, Vladimir
team_comp_0_champ_4, Aphelios
team_comp_0_champ_5, Nautilus
total_gold_earned_1, 60043
total_gold_spent_1, 59150
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 27
total_deaths_1, 35
total_damage_dealt_to_champions_1, 114731
total_damage_dealt_to_objectives_1, 29663
total_damage_taken_1, 131990
average_vision_score_1, 24
total_wards_placed_1, 49
average_creep_score_1, 141
average_champion_experience_1, 14020
dmg_carry_1, 21
obj_carry_1, 21
team_comp_1_champ_1, Renekton
team_comp_1_champ_2, Zed
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Jinx
team_comp_1_champ_5, MissFortune
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
