total_gold_earned_0, 74285
total_gold_spent_0, 66650
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 3
total_kills_0, 42
total_deaths_0, 30
total_damage_dealt_to_champions_0, 117539
total_damage_dealt_to_objectives_0, 114935
total_damage_taken_0, 160742
average_vision_score_0, 40
total_wards_placed_0, 80
average_creep_score_0, 149
average_champion_experience_0, 18310
dmg_carry_0, 51
obj_carry_0, 51
team_comp_0_champ_1, Swain
team_comp_0_champ_2, Shyvana
team_comp_0_champ_3, Lux
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Blitzcrank
total_gold_earned_1, 71814
total_gold_spent_1, 67358
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 2
total_kills_1, 30
total_deaths_1, 42
total_damage_dealt_to_champions_1, 133556
total_damage_dealt_to_objectives_1, 49506
total_damage_taken_1, 153000
average_vision_score_1, 30
total_wards_placed_1, 62
average_creep_score_1, 162
average_champion_experience_1, 16154
dmg_carry_1, 81
obj_carry_1, 81
team_comp_1_champ_1, Sett
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Karma
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
