total_gold_earned_0, 83611
total_gold_spent_0, 77540
total_baron_kills_0, 1
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 53
total_deaths_0, 63
total_damage_dealt_to_champions_0, 148122
total_damage_dealt_to_objectives_0, 57112
total_damage_taken_0, 219540
average_vision_score_0, 23
total_wards_placed_0, 49
average_creep_score_0, 147
average_champion_experience_0, 18795
dmg_carry_0, 39
obj_carry_0, 39
team_comp_0_champ_1, Irelia
team_comp_0_champ_2, Nasus
team_comp_0_champ_3, Vladimir
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Pyke
total_gold_earned_1, 83366
total_gold_spent_1, 75258
total_baron_kills_1, 1
total_dragon_kills_1, 5
total_inhibitor_kils_1, 5
total_kills_1, 63
total_deaths_1, 53
total_damage_dealt_to_champions_1, 176483
total_damage_dealt_to_objectives_1, 96505
total_damage_taken_1, 179787
average_vision_score_1, 42
total_wards_placed_1, 100
average_creep_score_1, 129
average_champion_experience_1, 20326
dmg_carry_1, 45
obj_carry_1, 45
team_comp_1_champ_1, Yorick
team_comp_1_champ_2, Warwick
team_comp_1_champ_3, Veigar
team_comp_1_champ_4, Ashe
team_comp_1_champ_5, Ahri
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 1
