total_gold_earned_0, 43194
total_gold_spent_0, 38715
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 22
total_deaths_0, 33
total_damage_dealt_to_champions_0, 60391
total_damage_dealt_to_objectives_0, 16973
total_damage_taken_0, 118965
average_vision_score_0, 18
total_wards_placed_0, 43
average_creep_score_0, 92
average_champion_experience_0, 10540
dmg_carry_0, 777
obj_carry_0, 777
team_comp_0_champ_1, Nasus
team_comp_0_champ_2, Viego
team_comp_0_champ_3, Veigar
team_comp_0_champ_4, Yone
team_comp_0_champ_5, Nami
total_gold_earned_1, 54166
total_gold_spent_1, 50560
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 2
total_kills_1, 33
total_deaths_1, 22
total_damage_dealt_to_champions_1, 99515
total_damage_dealt_to_objectives_1, 78017
total_damage_taken_1, 97611
average_vision_score_1, 25
total_wards_placed_1, 46
average_creep_score_1, 96
average_champion_experience_1, 13052
dmg_carry_1, 11
obj_carry_1, 11
team_comp_1_champ_1, Malphite
team_comp_1_champ_2, Galio
team_comp_1_champ_3, MasterYi
team_comp_1_champ_4, Heimerdinger
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
