total_gold_earned_0, 30915
total_gold_spent_0, 27445
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 10
total_deaths_0, 32
total_damage_dealt_to_champions_0, 34731
total_damage_dealt_to_objectives_0, 15972
total_damage_taken_0, 76886
average_vision_score_0, 11
total_wards_placed_0, 29
average_creep_score_0, 54
average_champion_experience_0, 6678
dmg_carry_0, 517
obj_carry_0, 517
team_comp_0_champ_1, Chogath
team_comp_0_champ_2, Udyr
team_comp_0_champ_3, Sylas
team_comp_0_champ_4, Swain
team_comp_0_champ_5, Soraka
total_gold_earned_1, 42859
total_gold_spent_1, 38925
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 32
total_deaths_1, 10
total_damage_dealt_to_champions_1, 62151
total_damage_dealt_to_objectives_1, 50332
total_damage_taken_1, 58271
average_vision_score_1, 12
total_wards_placed_1, 31
average_creep_score_1, 85
average_champion_experience_1, 8523
dmg_carry_1, 21
obj_carry_1, 21
team_comp_1_champ_1, Mordekaiser
team_comp_1_champ_2, Jax
team_comp_1_champ_3, Tristana
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Taric
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
