total_gold_earned_0, 55554
total_gold_spent_0, 48225
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 30
total_deaths_0, 22
total_damage_dealt_to_champions_0, 96699
total_damage_dealt_to_objectives_0, 43426
total_damage_taken_0, 87663
average_vision_score_0, 21
total_wards_placed_0, 52
average_creep_score_0, 120
average_champion_experience_0, 13132
dmg_carry_0, 145
obj_carry_0, 145
team_comp_0_champ_1, Urgot
team_comp_0_champ_2, Shaco
team_comp_0_champ_3, Kaisa
team_comp_0_champ_4, Draven
team_comp_0_champ_5, Zilean
total_gold_earned_1, 48599
total_gold_spent_1, 46210
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 22
total_deaths_1, 30
total_damage_dealt_to_champions_1, 63271
total_damage_dealt_to_objectives_1, 27157
total_damage_taken_1, 120247
average_vision_score_1, 19
total_wards_placed_1, 35
average_creep_score_1, 112
average_champion_experience_1, 11935
dmg_carry_1, 875
obj_carry_1, 875
team_comp_1_champ_1, Sett
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Garen
team_comp_1_champ_4, Ashe
team_comp_1_champ_5, Alistar
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
