total_gold_earned_0, 73647
total_gold_spent_0, 69775
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 3
total_kills_0, 37
total_deaths_0, 26
total_damage_dealt_to_champions_0, 137863
total_damage_dealt_to_objectives_0, 108473
total_damage_taken_0, 151724
average_vision_score_0, 36
total_wards_placed_0, 75
average_creep_score_0, 158
average_champion_experience_0, 17955
dmg_carry_0, 157
obj_carry_0, 157
team_comp_0_champ_1, Sett
team_comp_0_champ_2, Shyvana
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Lux
total_gold_earned_1, 66553
total_gold_spent_1, 60550
total_baron_kills_1, 1
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 26
total_deaths_1, 37
total_damage_dealt_to_champions_1, 115650
total_damage_dealt_to_objectives_1, 36282
total_damage_taken_1, 168385
average_vision_score_1, 36
total_wards_placed_1, 71
average_creep_score_1, 166
average_champion_experience_1, 16966
dmg_carry_1, 15
obj_carry_1, 15
team_comp_1_champ_1, Tryndamere
team_comp_1_champ_2, Viego
team_comp_1_champ_3, Xerath
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, Blitzcrank
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
