total_gold_earned_0, 55035
total_gold_spent_0, 49010
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 0
total_kills_0, 40
total_deaths_0, 20
total_damage_dealt_to_champions_0, 97277
total_damage_dealt_to_objectives_0, 81065
total_damage_taken_0, 101578
average_vision_score_0, 19
total_wards_placed_0, 46
average_creep_score_0, 89
average_champion_experience_0, 12520
dmg_carry_0, 157
obj_carry_0, 157
team_comp_0_champ_1, Shen
team_comp_0_champ_2, XinZhao
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Sona
total_gold_earned_1, 45448
total_gold_spent_1, 41708
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 20
total_deaths_1, 40
total_damage_dealt_to_champions_1, 66885
total_damage_dealt_to_objectives_1, 13510
total_damage_taken_1, 118970
average_vision_score_1, 15
total_wards_placed_1, 37
average_creep_score_1, 85
average_champion_experience_1, 10501
dmg_carry_1, 150
obj_carry_1, 150
team_comp_1_champ_1, Gnar
team_comp_1_champ_2, Ekko
team_comp_1_champ_3, Pantheon
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Senna
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
