total_gold_earned_0, 71519
total_gold_spent_0, 67100
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 3
total_kills_0, 57
total_deaths_0, 34
total_damage_dealt_to_champions_0, 131567
total_damage_dealt_to_objectives_0, 86137
total_damage_taken_0, 129884
average_vision_score_0, 25
total_wards_placed_0, 54
average_creep_score_0, 97
average_champion_experience_0, 16043
dmg_carry_0, 51
obj_carry_0, 51
team_comp_0_champ_1, Quinn
team_comp_0_champ_2, Khazix
team_comp_0_champ_3, Leblanc
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Karma
total_gold_earned_1, 57040
total_gold_spent_1, 58260
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 34
total_deaths_1, 58
total_damage_dealt_to_champions_1, 86161
total_damage_dealt_to_objectives_1, 17614
total_damage_taken_1, 156349
average_vision_score_1, 21
total_wards_placed_1, 54
average_creep_score_1, 107
average_champion_experience_1, 14094
dmg_carry_1, 101
obj_carry_1, 101
team_comp_1_champ_1, DrMundo
team_comp_1_champ_2, Zeri
team_comp_1_champ_3, Talon
team_comp_1_champ_4, Lux
team_comp_1_champ_5, Xerath
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
