total_gold_earned_0, 28934
total_gold_spent_0, 24450
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 10
total_deaths_0, 1
total_damage_dealt_to_champions_0, 19545
total_damage_dealt_to_objectives_0, 28275
total_damage_taken_0, 22844
average_vision_score_0, 8
total_wards_placed_0, 20
average_creep_score_0, 69
average_champion_experience_0, 5927
dmg_carry_0, 164
obj_carry_0, 164
team_comp_0_champ_1, Camille
team_comp_0_champ_2, Volibear
team_comp_0_champ_3, Velkoz
team_comp_0_champ_4, Kaisa
team_comp_0_champ_5, Seraphine
total_gold_earned_1, 17177
total_gold_spent_1, 13650
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 1
total_deaths_1, 10
total_damage_dealt_to_champions_1, 8203
total_damage_dealt_to_objectives_1, 1766
total_damage_taken_1, 26232
average_vision_score_1, 4
total_wards_placed_1, 12
average_creep_score_1, 46
average_champion_experience_1, 4000
dmg_carry_1, 81
obj_carry_1, 81
team_comp_1_champ_1, Chogath
team_comp_1_champ_2, Vi
team_comp_1_champ_3, Lucian
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Nautilus
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
