total_gold_earned_0, 63639
total_gold_spent_0, 60838
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 34
total_deaths_0, 42
total_damage_dealt_to_champions_0, 112670
total_damage_dealt_to_objectives_0, 73408
total_damage_taken_0, 183913
average_vision_score_0, 32
total_wards_placed_0, 61
average_creep_score_0, 112
average_champion_experience_0, 14288
dmg_carry_0, 75
obj_carry_0, 75
team_comp_0_champ_1, Sett
team_comp_0_champ_2, Nasus
team_comp_0_champ_3, Galio
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Soraka
total_gold_earned_1, 65645
total_gold_spent_1, 59735
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 2
total_kills_1, 42
total_deaths_1, 34
total_damage_dealt_to_champions_1, 142423
total_damage_dealt_to_objectives_1, 50836
total_damage_taken_1, 138076
average_vision_score_1, 25
total_wards_placed_1, 64
average_creep_score_1, 118
average_champion_experience_1, 13995
dmg_carry_1, 523
obj_carry_1, 523
team_comp_1_champ_1, Camille
team_comp_1_champ_2, Poppy
team_comp_1_champ_3, Malzahar
team_comp_1_champ_4, Aphelios
team_comp_1_champ_5, Yuumi
gameLengthMin, 32
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 1
