total_gold_earned_0, 70027
total_gold_spent_0, 62558
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 4
total_kills_0, 42
total_deaths_0, 51
total_damage_dealt_to_champions_0, 150467
total_damage_dealt_to_objectives_0, 80885
total_damage_taken_0, 183235
average_vision_score_0, 28
total_wards_placed_0, 65
average_creep_score_0, 89
average_champion_experience_0, 14081
dmg_carry_0, 69
obj_carry_0, 69
team_comp_0_champ_1, Olaf
team_comp_0_champ_2, Trundle
team_comp_0_champ_3, Cassiopeia
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Yuumi
total_gold_earned_1, 66439
total_gold_spent_1, 60815
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 51
total_deaths_1, 42
total_damage_dealt_to_champions_1, 156307
total_damage_dealt_to_objectives_1, 50896
total_damage_taken_1, 175755
average_vision_score_1, 28
total_wards_placed_1, 48
average_creep_score_1, 96
average_champion_experience_1, 14396
dmg_carry_1, 202
obj_carry_1, 202
team_comp_1_champ_1, Kled
team_comp_1_champ_2, Malphite
team_comp_1_champ_3, TwistedFate
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
