total_gold_earned_0, 70767
total_gold_spent_0, 60183
total_baron_kills_0, 2
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 35
total_deaths_0, 26
total_damage_dealt_to_champions_0, 107710
total_damage_dealt_to_objectives_0, 84632
total_damage_taken_0, 114235
average_vision_score_0, 22
total_wards_placed_0, 47
average_creep_score_0, 136
average_champion_experience_0, 15645
dmg_carry_0, 41
obj_carry_0, 41
team_comp_0_champ_1, Darius
team_comp_0_champ_2, Elise
team_comp_0_champ_3, Gangplank
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Shen
total_gold_earned_1, 55864
total_gold_spent_1, 55050
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 26
total_deaths_1, 35
total_damage_dealt_to_champions_1, 83530
total_damage_dealt_to_objectives_1, 50916
total_damage_taken_1, 132519
average_vision_score_1, 33
total_wards_placed_1, 74
average_creep_score_1, 130
average_champion_experience_1, 12990
dmg_carry_1, 498
obj_carry_1, 498
team_comp_1_champ_1, Fiora
team_comp_1_champ_2, Poppy
team_comp_1_champ_3, Zed
team_comp_1_champ_4, Xayah
team_comp_1_champ_5, Braum
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
