total_gold_earned_0, 58979
total_gold_spent_0, 50675
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 52
total_deaths_0, 27
total_damage_dealt_to_champions_0, 91663
total_damage_dealt_to_objectives_0, 53947
total_damage_taken_0, 92420
average_vision_score_0, 14
total_wards_placed_0, 36
average_creep_score_0, 95
average_champion_experience_0, 11727
dmg_carry_0, 157
obj_carry_0, 157
team_comp_0_champ_1, Nasus
team_comp_0_champ_2, Shyvana
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Lux
total_gold_earned_1, 43202
total_gold_spent_1, 41205
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 27
total_deaths_1, 52
total_damage_dealt_to_champions_1, 65607
total_damage_dealt_to_objectives_1, 33966
total_damage_taken_1, 110635
average_vision_score_1, 16
total_wards_placed_1, 40
average_creep_score_1, 67
average_champion_experience_1, 9797
dmg_carry_1, 11
obj_carry_1, 11
team_comp_1_champ_1, Mordekaiser
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Tristana
team_comp_1_champ_5, Lulu
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
