total_gold_earned_0, 46434
total_gold_spent_0, 42300
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 23
total_deaths_0, 32
total_damage_dealt_to_champions_0, 89582
total_damage_dealt_to_objectives_0, 37056
total_damage_taken_0, 106190
average_vision_score_0, 28
total_wards_placed_0, 47
average_creep_score_0, 108
average_champion_experience_0, 11147
dmg_carry_0, 161
obj_carry_0, 161
team_comp_0_champ_1, Nasus
team_comp_0_champ_2, Ivern
team_comp_0_champ_3, Lux
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Velkoz
total_gold_earned_1, 55688
total_gold_spent_1, 50980
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 2
total_kills_1, 32
total_deaths_1, 23
total_damage_dealt_to_champions_1, 88517
total_damage_dealt_to_objectives_1, 62545
total_damage_taken_1, 134280
average_vision_score_1, 19
total_wards_placed_1, 41
average_creep_score_1, 108
average_champion_experience_1, 12792
dmg_carry_1, 202
obj_carry_1, 202
team_comp_1_champ_1, Chogath
team_comp_1_champ_2, Shyvana
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Janna
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
