total_gold_earned_0, 35669
total_gold_spent_0, 33200
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 11
total_deaths_0, 32
total_damage_dealt_to_champions_0, 51579
total_damage_dealt_to_objectives_0, 9066
total_damage_taken_0, 89819
average_vision_score_0, 19
total_wards_placed_0, 45
average_creep_score_0, 89
average_champion_experience_0, 8330
dmg_carry_0, 122
obj_carry_0, 122
team_comp_0_champ_1, Darius
team_comp_0_champ_2, Rammus
team_comp_0_champ_3, AurelionSol
team_comp_0_champ_4, Zeri
team_comp_0_champ_5, Lulu
total_gold_earned_1, 56036
total_gold_spent_1, 49175
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 32
total_deaths_1, 11
total_damage_dealt_to_champions_1, 77626
total_damage_dealt_to_objectives_1, 89297
total_damage_taken_1, 90851
average_vision_score_1, 31
total_wards_placed_1, 50
average_creep_score_1, 102
average_champion_experience_1, 12026
dmg_carry_1, 429
obj_carry_1, 429
team_comp_1_champ_1, Tryndamere
team_comp_1_champ_2, FiddleSticks
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Kalista
team_comp_1_champ_5, Bard
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
