total_gold_earned_0, 60661
total_gold_spent_0, 65205
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 26
total_deaths_0, 45
total_damage_dealt_to_champions_0, 81862
total_damage_dealt_to_objectives_0, 32465
total_damage_taken_0, 138581
average_vision_score_0, 29
total_wards_placed_0, 73
average_creep_score_0, 138
average_champion_experience_0, 13981
dmg_carry_0, 112
obj_carry_0, 112
team_comp_0_champ_1, Renekton
team_comp_0_champ_2, Hecarim
team_comp_0_champ_3, Viktor
team_comp_0_champ_4, Kalista
team_comp_0_champ_5, Zyra
total_gold_earned_1, 72458
total_gold_spent_1, 64704
total_baron_kills_1, 1
total_dragon_kills_1, 5
total_inhibitor_kils_1, 1
total_kills_1, 45
total_deaths_1, 27
total_damage_dealt_to_champions_1, 109948
total_damage_dealt_to_objectives_1, 105434
total_damage_taken_1, 116096
average_vision_score_1, 38
total_wards_placed_1, 87
average_creep_score_1, 133
average_champion_experience_1, 17351
dmg_carry_1, 68
obj_carry_1, 68
team_comp_1_champ_1, Trundle
team_comp_1_champ_2, Khazix
team_comp_1_champ_3, Rumble
team_comp_1_champ_4, Jinx
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 1
