total_gold_earned_0, 35189
total_gold_spent_0, 29935
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 13
total_deaths_0, 24
total_damage_dealt_to_champions_0, 46360
total_damage_dealt_to_objectives_0, 4386
total_damage_taken_0, 72333
average_vision_score_0, 12
total_wards_placed_0, 38
average_creep_score_0, 91
average_champion_experience_0, 9153
dmg_carry_0, 163
obj_carry_0, 163
team_comp_0_champ_1, Gwen
team_comp_0_champ_2, Mordekaiser
team_comp_0_champ_3, Taliyah
team_comp_0_champ_4, Samira
team_comp_0_champ_5, Lulu
total_gold_earned_1, 44215
total_gold_spent_1, 39775
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 24
total_deaths_1, 13
total_damage_dealt_to_champions_1, 56627
total_damage_dealt_to_objectives_1, 58557
total_damage_taken_1, 73035
average_vision_score_1, 18
total_wards_placed_1, 33
average_creep_score_1, 92
average_champion_experience_1, 9786
dmg_carry_1, 113
obj_carry_1, 113
team_comp_1_champ_1, Sejuani
team_comp_1_champ_2, Nocturne
team_comp_1_champ_3, Vex
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, Amumu
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
