total_gold_earned_0, 57291
total_gold_spent_0, 55855
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 27
total_deaths_0, 38
total_damage_dealt_to_champions_0, 117757
total_damage_dealt_to_objectives_0, 14383
total_damage_taken_0, 124820
average_vision_score_0, 36
total_wards_placed_0, 70
average_creep_score_0, 133
average_champion_experience_0, 13421
dmg_carry_0, 17
obj_carry_0, 17
team_comp_0_champ_1, Teemo
team_comp_0_champ_2, Poppy
team_comp_0_champ_3, Malzahar
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Heimerdinger
total_gold_earned_1, 68916
total_gold_spent_1, 60820
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 1
total_kills_1, 38
total_deaths_1, 27
total_damage_dealt_to_champions_1, 111340
total_damage_dealt_to_objectives_1, 90646
total_damage_taken_1, 152947
average_vision_score_1, 23
total_wards_placed_1, 49
average_creep_score_1, 128
average_champion_experience_1, 16250
dmg_carry_1, 121
obj_carry_1, 121
team_comp_1_champ_1, Volibear
team_comp_1_champ_2, Khazix
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Karma
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
