total_gold_earned_0, 53229
total_gold_spent_0, 45325
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 35
total_deaths_0, 27
total_damage_dealt_to_champions_0, 74970
total_damage_dealt_to_objectives_0, 74419
total_damage_taken_0, 83652
average_vision_score_0, 21
total_wards_placed_0, 50
average_creep_score_0, 94
average_champion_experience_0, 11336
dmg_carry_0, 222
obj_carry_0, 222
team_comp_0_champ_1, Irelia
team_comp_0_champ_2, Kayle
team_comp_0_champ_3, Pantheon
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Lux
total_gold_earned_1, 43667
total_gold_spent_1, 39900
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 27
total_deaths_1, 36
total_damage_dealt_to_champions_1, 61136
total_damage_dealt_to_objectives_1, 23443
total_damage_taken_1, 88678
average_vision_score_1, 17
total_wards_placed_1, 42
average_creep_score_1, 86
average_champion_experience_1, 9376
dmg_carry_1, 90
obj_carry_1, 90
team_comp_1_champ_1, Aatrox
team_comp_1_champ_2, LeeSin
team_comp_1_champ_3, Malzahar
team_comp_1_champ_4, Zeri
team_comp_1_champ_5, Pyke
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
