total_gold_earned_0, 36476
total_gold_spent_0, 33575
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 15
total_deaths_0, 42
total_damage_dealt_to_champions_0, 56062
total_damage_dealt_to_objectives_0, 9608
total_damage_taken_0, 90605
average_vision_score_0, 15
total_wards_placed_0, 35
average_creep_score_0, 80
average_champion_experience_0, 8825
dmg_carry_0, 17
obj_carry_0, 17
team_comp_0_champ_1, Teemo
team_comp_0_champ_2, Volibear
team_comp_0_champ_3, Zed
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Senna
total_gold_earned_1, 48808
total_gold_spent_1, 44610
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 42
total_deaths_1, 15
total_damage_dealt_to_champions_1, 76448
total_damage_dealt_to_objectives_1, 57355
total_damage_taken_1, 83490
average_vision_score_1, 17
total_wards_placed_1, 37
average_creep_score_1, 72
average_champion_experience_1, 11067
dmg_carry_1, 236
obj_carry_1, 236
team_comp_1_champ_1, Vladimir
team_comp_1_champ_2, Warwick
team_comp_1_champ_3, Anivia
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, Nami
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
