total_gold_earned_0, 72912
total_gold_spent_0, 69510
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 1
total_kills_0, 46
total_deaths_0, 56
total_damage_dealt_to_champions_0, 161068
total_damage_dealt_to_objectives_0, 44644
total_damage_taken_0, 197527
average_vision_score_0, 30
total_wards_placed_0, 74
average_creep_score_0, 127
average_champion_experience_0, 16186
dmg_carry_0, 39
obj_carry_0, 39
team_comp_0_champ_1, Irelia
team_comp_0_champ_2, Amumu
team_comp_0_champ_3, Viktor
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Thresh
total_gold_earned_1, 82668
total_gold_spent_1, 70700
total_baron_kills_1, 2
total_dragon_kills_1, 4
total_inhibitor_kils_1, 1
total_kills_1, 56
total_deaths_1, 46
total_damage_dealt_to_champions_1, 175721
total_damage_dealt_to_objectives_1, 114836
total_damage_taken_1, 200902
average_vision_score_1, 34
total_wards_placed_1, 68
average_creep_score_1, 137
average_champion_experience_1, 19184
dmg_carry_1, 238
obj_carry_1, 238
team_comp_1_champ_1, MonkeyKing
team_comp_1_champ_2, Nunu
team_comp_1_champ_3, Zed
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Zyra
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
