total_gold_earned_0, 83083
total_gold_spent_0, 89490
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 46
total_deaths_0, 53
total_damage_dealt_to_champions_0, 143678
total_damage_dealt_to_objectives_0, 81316
total_damage_taken_0, 212296
average_vision_score_0, 51
total_wards_placed_0, 116
average_creep_score_0, 173
average_champion_experience_0, 19685
dmg_carry_0, 134
obj_carry_0, 134
team_comp_0_champ_1, Renekton
team_comp_0_champ_2, Vi
team_comp_0_champ_3, Syndra
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Galio
total_gold_earned_1, 94323
total_gold_spent_1, 80150
total_baron_kills_1, 2
total_dragon_kills_1, 5
total_inhibitor_kils_1, 1
total_kills_1, 53
total_deaths_1, 46
total_damage_dealt_to_champions_1, 180150
total_damage_dealt_to_objectives_1, 109908
total_damage_taken_1, 184508
average_vision_score_1, 52
total_wards_placed_1, 112
average_creep_score_1, 171
average_champion_experience_1, 23811
dmg_carry_1, 42
obj_carry_1, 42
team_comp_1_champ_1, Riven
team_comp_1_champ_2, Heimerdinger
team_comp_1_champ_3, Corki
team_comp_1_champ_4, Xayah
team_comp_1_champ_5, Pantheon
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 1
