total_gold_earned_0, 50768
total_gold_spent_0, 46810
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 29
total_deaths_0, 33
total_damage_dealt_to_champions_0, 70854
total_damage_dealt_to_objectives_0, 21356
total_damage_taken_0, 91175
average_vision_score_0, 20
total_wards_placed_0, 40
average_creep_score_0, 102
average_champion_experience_0, 12081
dmg_carry_0, 99
obj_carry_0, 99
team_comp_0_champ_1, Diana
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Lux
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Blitzcrank
total_gold_earned_1, 51692
total_gold_spent_1, 48420
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 0
total_kills_1, 33
total_deaths_1, 29
total_damage_dealt_to_champions_1, 74259
total_damage_dealt_to_objectives_1, 45127
total_damage_taken_1, 89245
average_vision_score_1, 25
total_wards_placed_1, 52
average_creep_score_1, 102
average_champion_experience_1, 12370
dmg_carry_1, 161
obj_carry_1, 161
team_comp_1_champ_1, Mordekaiser
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Velkoz
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Karma
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
