total_gold_earned_0, 61690
total_gold_spent_0, 55550
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 30
total_deaths_0, 45
total_damage_dealt_to_champions_0, 83520
total_damage_dealt_to_objectives_0, 38384
total_damage_taken_0, 163621
average_vision_score_0, 25
total_wards_placed_0, 57
average_creep_score_0, 136
average_champion_experience_0, 15004
dmg_carry_0, 236
obj_carry_0, 236
team_comp_0_champ_1, Urgot
team_comp_0_champ_2, Trundle
team_comp_0_champ_3, Chogath
team_comp_0_champ_4, Lucian
team_comp_0_champ_5, Bard
total_gold_earned_1, 69940
total_gold_spent_1, 63735
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 4
total_kills_1, 45
total_deaths_1, 30
total_damage_dealt_to_champions_1, 130306
total_damage_dealt_to_objectives_1, 82794
total_damage_taken_1, 117149
average_vision_score_1, 27
total_wards_placed_1, 61
average_creep_score_1, 103
average_champion_experience_1, 15896
dmg_carry_1, 55
obj_carry_1, 55
team_comp_1_champ_1, Singed
team_comp_1_champ_2, Amumu
team_comp_1_champ_3, Katarina
team_comp_1_champ_4, Ashe
team_comp_1_champ_5, Lux
gameLengthMin, 35
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
