total_gold_earned_0, 57910
total_gold_spent_0, 53425
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 23
total_deaths_0, 47
total_damage_dealt_to_champions_0, 95491
total_damage_dealt_to_objectives_0, 43672
total_damage_taken_0, 108892
average_vision_score_0, 25
total_wards_placed_0, 64
average_creep_score_0, 128
average_champion_experience_0, 14499
dmg_carry_0, 112
obj_carry_0, 112
team_comp_0_champ_1, Heimerdinger
team_comp_0_champ_2, Nocturne
team_comp_0_champ_3, Viktor
team_comp_0_champ_4, Kaisa
team_comp_0_champ_5, Senna
total_gold_earned_1, 67774
total_gold_spent_1, 57958
total_baron_kills_1, 2
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 47
total_deaths_1, 23
total_damage_dealt_to_champions_1, 81011
total_damage_dealt_to_objectives_1, 85531
total_damage_taken_1, 129346
average_vision_score_1, 17
total_wards_placed_1, 26
average_creep_score_1, 130
average_champion_experience_1, 17821
dmg_carry_1, 86
obj_carry_1, 86
team_comp_1_champ_1, Garen
team_comp_1_champ_2, Vi
team_comp_1_champ_3, Qiyana
team_comp_1_champ_4, Aphelios
team_comp_1_champ_5, Bard
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
