total_gold_earned_0, 66787
total_gold_spent_0, 58000
total_baron_kills_0, 0
total_dragon_kills_0, 4
total_inhibitor_kils_0, 3
total_kills_0, 50
total_deaths_0, 18
total_damage_dealt_to_champions_0, 95831
total_damage_dealt_to_objectives_0, 64004
total_damage_taken_0, 89055
average_vision_score_0, 30
total_wards_placed_0, 63
average_creep_score_0, 133
average_champion_experience_0, 15666
dmg_carry_0, 245
obj_carry_0, 245
team_comp_0_champ_1, Gnar
team_comp_0_champ_2, Ekko
team_comp_0_champ_3, Leblanc
team_comp_0_champ_4, Aphelios
team_comp_0_champ_5, Zyra
total_gold_earned_1, 48780
total_gold_spent_1, 46065
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 17
total_deaths_1, 50
total_damage_dealt_to_champions_1, 64312
total_damage_dealt_to_objectives_1, 23361
total_damage_taken_1, 117208
average_vision_score_1, 24
total_wards_placed_1, 45
average_creep_score_1, 117
average_champion_experience_1, 12433
dmg_carry_1, 17
obj_carry_1, 17
team_comp_1_champ_1, Teemo
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Velkoz
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
