total_gold_earned_0, 44623
total_gold_spent_0, 40720
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 36
total_deaths_0, 14
total_damage_dealt_to_champions_0, 65996
total_damage_dealt_to_objectives_0, 57818
total_damage_taken_0, 62607
average_vision_score_0, 14
total_wards_placed_0, 35
average_creep_score_0, 77
average_champion_experience_0, 8911
dmg_carry_0, 18
obj_carry_0, 18
team_comp_0_champ_1, Irelia
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Vex
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Leona
total_gold_earned_1, 28829
total_gold_spent_1, 27920
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 13
total_deaths_1, 36
total_damage_dealt_to_champions_1, 36955
total_damage_dealt_to_objectives_1, 8567
total_damage_taken_1, 77271
average_vision_score_1, 10
total_wards_placed_1, 25
average_creep_score_1, 58
average_champion_experience_1, 6614
dmg_carry_1, 113
obj_carry_1, 113
team_comp_1_champ_1, Riven
team_comp_1_champ_2, Sejuani
team_comp_1_champ_3, Sylas
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Maokai
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
