total_gold_earned_0, 51174
total_gold_spent_0, 48995
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 15
total_deaths_0, 20
total_damage_dealt_to_champions_0, 65337
total_damage_dealt_to_objectives_0, 42538
total_damage_taken_0, 103211
average_vision_score_0, 24
total_wards_placed_0, 62
average_creep_score_0, 136
average_champion_experience_0, 12708
dmg_carry_0, 83
obj_carry_0, 83
team_comp_0_champ_1, Yorick
team_comp_0_champ_2, Shaco
team_comp_0_champ_3, Ziggs
team_comp_0_champ_4, Varus
team_comp_0_champ_5, Soraka
total_gold_earned_1, 56761
total_gold_spent_1, 52090
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 4
total_kills_1, 20
total_deaths_1, 15
total_damage_dealt_to_champions_1, 82060
total_damage_dealt_to_objectives_1, 64077
total_damage_taken_1, 102188
average_vision_score_1, 20
total_wards_placed_1, 49
average_creep_score_1, 126
average_champion_experience_1, 13889
dmg_carry_1, 106
obj_carry_1, 106
team_comp_1_champ_1, Volibear
team_comp_1_champ_2, Mordekaiser
team_comp_1_champ_3, Anivia
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
