total_gold_earned_0, 61641
total_gold_spent_0, 59285
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 31
total_deaths_0, 40
total_damage_dealt_to_champions_0, 102523
total_damage_dealt_to_objectives_0, 52934
total_damage_taken_0, 165559
average_vision_score_0, 29
total_wards_placed_0, 64
average_creep_score_0, 136
average_champion_experience_0, 13714
dmg_carry_0, 14
obj_carry_0, 14
team_comp_0_champ_1, Sion
team_comp_0_champ_2, Nocturne
team_comp_0_champ_3, Talon
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Karma
total_gold_earned_1, 71275
total_gold_spent_1, 65555
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 40
total_deaths_1, 31
total_damage_dealt_to_champions_1, 141639
total_damage_dealt_to_objectives_1, 71719
total_damage_taken_1, 141623
average_vision_score_1, 35
total_wards_placed_1, 62
average_creep_score_1, 142
average_champion_experience_1, 16959
dmg_carry_1, 104
obj_carry_1, 104
team_comp_1_champ_1, Garen
team_comp_1_champ_2, Hecarim
team_comp_1_champ_3, Graves
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Amumu
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
