total_gold_earned_0, 60677
total_gold_spent_0, 55825
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 34
total_deaths_0, 41
total_damage_dealt_to_champions_0, 97413
total_damage_dealt_to_objectives_0, 41808
total_damage_taken_0, 113898
average_vision_score_0, 24
total_wards_placed_0, 48
average_creep_score_0, 106
average_champion_experience_0, 13443
dmg_carry_0, 4
obj_carry_0, 4
team_comp_0_champ_1, Teemo
team_comp_0_champ_2, KogMaw
team_comp_0_champ_3, TwistedFate
team_comp_0_champ_4, JarvanIV
team_comp_0_champ_5, Nautilus
total_gold_earned_1, 61074
total_gold_spent_1, 55475
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 41
total_deaths_1, 34
total_damage_dealt_to_champions_1, 91623
total_damage_dealt_to_objectives_1, 36525
total_damage_taken_1, 131033
average_vision_score_1, 28
total_wards_placed_1, 62
average_creep_score_1, 105
average_champion_experience_1, 13589
dmg_carry_1, 67
obj_carry_1, 67
team_comp_1_champ_1, LeeSin
team_comp_1_champ_2, Khazix
team_comp_1_champ_3, Annie
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Blitzcrank
gameLengthMin, 33
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
