total_gold_earned_0, 53628
total_gold_spent_0, 50275
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 26
total_deaths_0, 43
total_damage_dealt_to_champions_0, 78490
total_damage_dealt_to_objectives_0, 39055
total_damage_taken_0, 134451
average_vision_score_0, 24
total_wards_placed_0, 50
average_creep_score_0, 122
average_champion_experience_0, 12652
dmg_carry_0, 120
obj_carry_0, 120
team_comp_0_champ_1, Malphite
team_comp_0_champ_2, Hecarim
team_comp_0_champ_3, Anivia
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Alistar
total_gold_earned_1, 66575
total_gold_spent_1, 57633
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 43
total_deaths_1, 26
total_damage_dealt_to_champions_1, 111773
total_damage_dealt_to_objectives_1, 54081
total_damage_taken_1, 104507
average_vision_score_1, 27
total_wards_placed_1, 57
average_creep_score_1, 118
average_champion_experience_1, 14556
dmg_carry_1, 221
obj_carry_1, 221
team_comp_1_champ_1, Corki
team_comp_1_champ_2, Khazix
team_comp_1_champ_3, Akali
team_comp_1_champ_4, Zeri
team_comp_1_champ_5, Pyke
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
