total_gold_earned_0, 57368
total_gold_spent_0, 55690
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 23
total_deaths_0, 40
total_damage_dealt_to_champions_0, 103205
total_damage_dealt_to_objectives_0, 66967
total_damage_taken_0, 130011
average_vision_score_0, 41
total_wards_placed_0, 79
average_creep_score_0, 124
average_champion_experience_0, 13921
dmg_carry_0, 115
obj_carry_0, 115
team_comp_0_champ_1, Graves
team_comp_0_champ_2, Shaco
team_comp_0_champ_3, Rumble
team_comp_0_champ_4, Ziggs
team_comp_0_champ_5, Swain
total_gold_earned_1, 67309
total_gold_spent_1, 60060
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 40
total_deaths_1, 23
total_damage_dealt_to_champions_1, 106958
total_damage_dealt_to_objectives_1, 56863
total_damage_taken_1, 131239
average_vision_score_1, 35
total_wards_placed_1, 66
average_creep_score_1, 128
average_champion_experience_1, 16625
dmg_carry_1, 711
obj_carry_1, 711
team_comp_1_champ_1, Mordekaiser
team_comp_1_champ_2, JarvanIV
team_comp_1_champ_3, Vex
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
