total_gold_earned_0, 52213
total_gold_spent_0, 44870
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 1
total_kills_0, 36
total_deaths_0, 17
total_damage_dealt_to_champions_0, 72566
total_damage_dealt_to_objectives_0, 72570
total_damage_taken_0, 77357
average_vision_score_0, 25
total_wards_placed_0, 62
average_creep_score_0, 102
average_champion_experience_0, 12160
dmg_carry_0, 13
obj_carry_0, 13
team_comp_0_champ_1, Jayce
team_comp_0_champ_2, Amumu
team_comp_0_champ_3, Ryze
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Lux
total_gold_earned_1, 43428
total_gold_spent_1, 40510
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 17
total_deaths_1, 36
total_damage_dealt_to_champions_1, 54776
total_damage_dealt_to_objectives_1, 24111
total_damage_taken_1, 90282
average_vision_score_1, 16
total_wards_placed_1, 43
average_creep_score_1, 94
average_champion_experience_1, 10245
dmg_carry_1, 106
obj_carry_1, 106
team_comp_1_champ_1, Volibear
team_comp_1_champ_2, JarvanIV
team_comp_1_champ_3, Cassiopeia
team_comp_1_champ_4, Ziggs
team_comp_1_champ_5, Nami
gameLengthMin, 27
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
