total_gold_earned_0, 62127
total_gold_spent_0, 57435
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 18
total_deaths_0, 27
total_damage_dealt_to_champions_0, 111989
total_damage_dealt_to_objectives_0, 56439
total_damage_taken_0, 141465
average_vision_score_0, 27
total_wards_placed_0, 54
average_creep_score_0, 161
average_champion_experience_0, 14763
dmg_carry_0, 81
obj_carry_0, 81
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Viego
team_comp_0_champ_3, Zed
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Yuumi
total_gold_earned_1, 67094
total_gold_spent_1, 59250
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 3
total_kills_1, 27
total_deaths_1, 18
total_damage_dealt_to_champions_1, 103390
total_damage_dealt_to_objectives_1, 65523
total_damage_taken_1, 127912
average_vision_score_1, 40
total_wards_placed_1, 97
average_creep_score_1, 147
average_champion_experience_1, 16078
dmg_carry_1, 90
obj_carry_1, 90
team_comp_1_champ_1, DrMundo
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Malzahar
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, Alistar
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
