total_gold_earned_0, 55229
total_gold_spent_0, 49420
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 36
total_deaths_0, 25
total_damage_dealt_to_champions_0, 92326
total_damage_dealt_to_objectives_0, 58087
total_damage_taken_0, 100320
average_vision_score_0, 23
total_wards_placed_0, 55
average_creep_score_0, 103
average_champion_experience_0, 12341
dmg_carry_0, 75
obj_carry_0, 75
team_comp_0_champ_1, Yasuo
team_comp_0_champ_2, Nasus
team_comp_0_champ_3, Zilean
team_comp_0_champ_4, Lucian
team_comp_0_champ_5, Swain
total_gold_earned_1, 43618
total_gold_spent_1, 38700
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 24
total_deaths_1, 36
total_damage_dealt_to_champions_1, 65479
total_damage_dealt_to_objectives_1, 17058
total_damage_taken_1, 105928
average_vision_score_1, 14
total_wards_placed_1, 33
average_creep_score_1, 101
average_champion_experience_1, 10218
dmg_carry_1, 222
obj_carry_1, 222
team_comp_1_champ_1, Riven
team_comp_1_champ_2, Amumu
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Jinx
team_comp_1_champ_5, Blitzcrank
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
