total_gold_earned_0, 61469
total_gold_spent_0, 60500
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 41
total_deaths_0, 45
total_damage_dealt_to_champions_0, 108434
total_damage_dealt_to_objectives_0, 40903
total_damage_taken_0, 128533
average_vision_score_0, 35
total_wards_placed_0, 84
average_creep_score_0, 113
average_champion_experience_0, 14515
dmg_carry_0, 17
obj_carry_0, 17
team_comp_0_champ_1, Teemo
team_comp_0_champ_2, Rammus
team_comp_0_champ_3, Viktor
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Nautilus
total_gold_earned_1, 69915
total_gold_spent_1, 65695
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 2
total_kills_1, 45
total_deaths_1, 41
total_damage_dealt_to_champions_1, 106470
total_damage_dealt_to_objectives_1, 69364
total_damage_taken_1, 139124
average_vision_score_1, 27
total_wards_placed_1, 64
average_creep_score_1, 111
average_champion_experience_1, 14940
dmg_carry_1, 127
obj_carry_1, 127
team_comp_1_champ_1, Lissandra
team_comp_1_champ_2, Evelynn
team_comp_1_champ_3, Darius
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Pyke
gameLengthMin, 34
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
