total_gold_earned_0, 63663
total_gold_spent_0, 58975
total_baron_kills_0, 1
total_dragon_kills_0, 1
total_inhibitor_kils_0, 1
total_kills_0, 37
total_deaths_0, 32
total_damage_dealt_to_champions_0, 91167
total_damage_dealt_to_objectives_0, 58234
total_damage_taken_0, 146734
average_vision_score_0, 21
total_wards_placed_0, 49
average_creep_score_0, 115
average_champion_experience_0, 14943
dmg_carry_0, 82
obj_carry_0, 82
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, Hecarim
team_comp_0_champ_3, TwistedFate
team_comp_0_champ_4, Morgana
team_comp_0_champ_5, Jinx
total_gold_earned_1, 59817
total_gold_spent_1, 59710
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 0
total_kills_1, 32
total_deaths_1, 37
total_damage_dealt_to_champions_1, 114617
total_damage_dealt_to_objectives_1, 49205
total_damage_taken_1, 116819
average_vision_score_1, 26
total_wards_placed_1, 68
average_creep_score_1, 119
average_champion_experience_1, 14378
dmg_carry_1, 143
obj_carry_1, 143
team_comp_1_champ_1, Maokai
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Zyra
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 0
