total_gold_earned_0, 32483
total_gold_spent_0, 31195
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 9
total_deaths_0, 40
total_damage_dealt_to_champions_0, 54823
total_damage_dealt_to_objectives_0, 17621
total_damage_taken_0, 102603
average_vision_score_0, 16
total_wards_placed_0, 32
average_creep_score_0, 70
average_champion_experience_0, 7852
dmg_carry_0, 23
obj_carry_0, 23
team_comp_0_champ_1, Soraka
team_comp_0_champ_2, Rengar
team_comp_0_champ_3, Tryndamere
team_comp_0_champ_4, Kaisa
team_comp_0_champ_5, Neeko
total_gold_earned_1, 45797
total_gold_spent_1, 42815
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 39
total_deaths_1, 9
total_damage_dealt_to_champions_1, 79562
total_damage_dealt_to_objectives_1, 48130
total_damage_taken_1, 82701
average_vision_score_1, 18
total_wards_placed_1, 39
average_creep_score_1, 84
average_champion_experience_1, 10887
dmg_carry_1, 120
obj_carry_1, 120
team_comp_1_champ_1, Camille
team_comp_1_champ_2, Hecarim
team_comp_1_champ_3, Vladimir
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Nami
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
