total_gold_earned_0, 56443
total_gold_spent_0, 49475
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 21
total_deaths_0, 9
total_damage_dealt_to_champions_0, 71432
total_damage_dealt_to_objectives_0, 69737
total_damage_taken_0, 84261
average_vision_score_0, 28
total_wards_placed_0, 46
average_creep_score_0, 136
average_champion_experience_0, 14247
dmg_carry_0, 41
obj_carry_0, 41
team_comp_0_champ_1, Gangplank
team_comp_0_champ_2, Viego
team_comp_0_champ_3, Vex
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Soraka
total_gold_earned_1, 47901
total_gold_spent_1, 45685
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 9
total_deaths_1, 21
total_damage_dealt_to_champions_1, 55766
total_damage_dealt_to_objectives_1, 31225
total_damage_taken_1, 91239
average_vision_score_1, 22
total_wards_placed_1, 43
average_creep_score_1, 132
average_champion_experience_1, 12335
dmg_carry_1, 875
obj_carry_1, 875
team_comp_1_champ_1, Sett
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Brand
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
