total_gold_earned_0, 44577
total_gold_spent_0, 39800
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 28
total_deaths_0, 13
total_damage_dealt_to_champions_0, 61315
total_damage_dealt_to_objectives_0, 40068
total_damage_taken_0, 71188
average_vision_score_0, 19
total_wards_placed_0, 39
average_creep_score_0, 87
average_champion_experience_0, 9993
dmg_carry_0, 39
obj_carry_0, 39
team_comp_0_champ_1, Irelia
team_comp_0_champ_2, Evelynn
team_comp_0_champ_3, Kled
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Karma
total_gold_earned_1, 37212
total_gold_spent_1, 36750
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 13
total_deaths_1, 28
total_damage_dealt_to_champions_1, 44592
total_damage_dealt_to_objectives_1, 12299
total_damage_taken_1, 80116
average_vision_score_1, 20
total_wards_placed_1, 45
average_creep_score_1, 87
average_champion_experience_1, 8403
dmg_carry_1, 58
obj_carry_1, 58
team_comp_1_champ_1, Chogath
team_comp_1_champ_2, Nunu
team_comp_1_champ_3, Renekton
team_comp_1_champ_4, Aphelios
team_comp_1_champ_5, Morgana
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
