total_gold_earned_0, 55203
total_gold_spent_0, 48675
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 33
total_deaths_0, 17
total_damage_dealt_to_champions_0, 74234
total_damage_dealt_to_objectives_0, 84007
total_damage_taken_0, 83837
average_vision_score_0, 31
total_wards_placed_0, 64
average_creep_score_0, 99
average_champion_experience_0, 12382
dmg_carry_0, 711
obj_carry_0, 711
team_comp_0_champ_1, Graves
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Vex
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Morgana
total_gold_earned_1, 46830
total_gold_spent_1, 42463
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 17
total_deaths_1, 33
total_damage_dealt_to_champions_1, 52881
total_damage_dealt_to_objectives_1, 18897
total_damage_taken_1, 99130
average_vision_score_1, 25
total_wards_placed_1, 48
average_creep_score_1, 112
average_champion_experience_1, 10442
dmg_carry_1, 221
obj_carry_1, 221
team_comp_1_champ_1, Fiora
team_comp_1_champ_2, Zac
team_comp_1_champ_3, Zeri
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
