total_gold_earned_0, 57160
total_gold_spent_0, 51705
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 3
total_kills_0, 35
total_deaths_0, 24
total_damage_dealt_to_champions_0, 106261
total_damage_dealt_to_objectives_0, 79342
total_damage_taken_0, 125112
average_vision_score_0, 33
total_wards_placed_0, 50
average_creep_score_0, 107
average_champion_experience_0, 13609
dmg_carry_0, 82
obj_carry_0, 82
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Amumu
team_comp_0_champ_3, Mordekaiser
team_comp_0_champ_4, Senna
team_comp_0_champ_5, Ashe
total_gold_earned_1, 48643
total_gold_spent_1, 47470
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 23
total_deaths_1, 35
total_damage_dealt_to_champions_1, 87797
total_damage_dealt_to_objectives_1, 21040
total_damage_taken_1, 132907
average_vision_score_1, 15
total_wards_placed_1, 49
average_creep_score_1, 109
average_champion_experience_1, 11607
dmg_carry_1, 875
obj_carry_1, 875
team_comp_1_champ_1, Sett
team_comp_1_champ_2, Kled
team_comp_1_champ_3, Talon
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Morgana
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
