total_gold_earned_0, 50648
total_gold_spent_0, 44425
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 3
total_kills_0, 22
total_deaths_0, 11
total_damage_dealt_to_champions_0, 79771
total_damage_dealt_to_objectives_0, 63623
total_damage_taken_0, 86347
average_vision_score_0, 21
total_wards_placed_0, 45
average_creep_score_0, 111
average_champion_experience_0, 10770
dmg_carry_0, 15
obj_carry_0, 15
team_comp_0_champ_1, Nasus
team_comp_0_champ_2, Poppy
team_comp_0_champ_3, Gangplank
team_comp_0_champ_4, Sivir
team_comp_0_champ_5, Taric
total_gold_earned_1, 40828
total_gold_spent_1, 38083
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 10
total_deaths_1, 22
total_damage_dealt_to_champions_1, 56577
total_damage_dealt_to_objectives_1, 28510
total_damage_taken_1, 101890
average_vision_score_1, 18
total_wards_placed_1, 42
average_creep_score_1, 98
average_champion_experience_1, 9392
dmg_carry_1, 266
obj_carry_1, 266
team_comp_1_champ_1, Aatrox
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Kassadin
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Alistar
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
