total_gold_earned_0, 80205
total_gold_spent_0, 74725
total_baron_kills_0, 0
total_dragon_kills_0, 4
total_inhibitor_kils_0, 2
total_kills_0, 40
total_deaths_0, 58
total_damage_dealt_to_champions_0, 168320
total_damage_dealt_to_objectives_0, 78980
total_damage_taken_0, 225393
average_vision_score_0, 44
total_wards_placed_0, 84
average_creep_score_0, 150
average_champion_experience_0, 18785
dmg_carry_0, 21
obj_carry_0, 21
team_comp_0_champ_1, Olaf
team_comp_0_champ_2, Hecarim
team_comp_0_champ_3, Sylas
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Zyra
total_gold_earned_1, 91365
total_gold_spent_1, 84645
total_baron_kills_1, 3
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 58
total_deaths_1, 40
total_damage_dealt_to_champions_1, 192544
total_damage_dealt_to_objectives_1, 114562
total_damage_taken_1, 211065
average_vision_score_1, 49
total_wards_placed_1, 88
average_creep_score_1, 142
average_champion_experience_1, 22898
dmg_carry_1, 711
obj_carry_1, 711
team_comp_1_champ_1, Vayne
team_comp_1_champ_2, FiddleSticks
team_comp_1_champ_3, Vex
team_comp_1_champ_4, Nilah
team_comp_1_champ_5, Sona
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
