total_gold_earned_0, 53456
total_gold_spent_0, 46250
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 3
total_kills_0, 30
total_deaths_0, 13
total_damage_dealt_to_champions_0, 86352
total_damage_dealt_to_objectives_0, 66041
total_damage_taken_0, 83454
average_vision_score_0, 18
total_wards_placed_0, 34
average_creep_score_0, 100
average_champion_experience_0, 11890
dmg_carry_0, 360
obj_carry_0, 360
team_comp_0_champ_1, TahmKench
team_comp_0_champ_2, MonkeyKing
team_comp_0_champ_3, Zoe
team_comp_0_champ_4, Samira
team_comp_0_champ_5, Xerath
total_gold_earned_1, 39343
total_gold_spent_1, 36868
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 13
total_deaths_1, 30
total_damage_dealt_to_champions_1, 46042
total_damage_dealt_to_objectives_1, 11273
total_damage_taken_1, 105755
average_vision_score_1, 17
total_wards_placed_1, 47
average_creep_score_1, 89
average_champion_experience_1, 10102
dmg_carry_1, 55
obj_carry_1, 55
team_comp_1_champ_1, Garen
team_comp_1_champ_2, Belveth
team_comp_1_champ_3, Katarina
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Taric
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
