total_gold_earned_0, 61444
total_gold_spent_0, 51758
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 50
total_deaths_0, 19
total_damage_dealt_to_champions_0, 96633
total_damage_dealt_to_objectives_0, 64015
total_damage_taken_0, 92771
average_vision_score_0, 20
total_wards_placed_0, 38
average_creep_score_0, 112
average_champion_experience_0, 13661
dmg_carry_0, 86
obj_carry_0, 86
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Nocturne
team_comp_0_champ_3, Lux
team_comp_0_champ_4, Lucian
team_comp_0_champ_5, Zilean
total_gold_earned_1, 43634
total_gold_spent_1, 42540
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 18
total_deaths_1, 50
total_damage_dealt_to_champions_1, 61706
total_damage_dealt_to_objectives_1, 10914
total_damage_taken_1, 114515
average_vision_score_1, 20
total_wards_placed_1, 56
average_creep_score_1, 108
average_champion_experience_1, 10576
dmg_carry_1, 876
obj_carry_1, 876
team_comp_1_champ_1, Jax
team_comp_1_champ_2, Lillia
team_comp_1_champ_3, Annie
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Malphite
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
