total_gold_earned_0, 41353
total_gold_spent_0, 35905
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 28
total_deaths_0, 12
total_damage_dealt_to_champions_0, 43352
total_damage_dealt_to_objectives_0, 49384
total_damage_taken_0, 46854
average_vision_score_0, 15
total_wards_placed_0, 38
average_creep_score_0, 79
average_champion_experience_0, 9159
dmg_carry_0, 82
obj_carry_0, 82
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, Twitch
team_comp_0_champ_3, Vex
team_comp_0_champ_4, Amumu
team_comp_0_champ_5, Lux
total_gold_earned_1, 35093
total_gold_spent_1, 31540
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 12
total_deaths_1, 28
total_damage_dealt_to_champions_1, 33627
total_damage_dealt_to_objectives_1, 14281
total_damage_taken_1, 56793
average_vision_score_1, 13
total_wards_placed_1, 36
average_creep_score_1, 86
average_champion_experience_1, 7724
dmg_carry_1, 103
obj_carry_1, 103
team_comp_1_champ_1, Yone
team_comp_1_champ_2, XinZhao
team_comp_1_champ_3, Ahri
team_comp_1_champ_4, Kalista
team_comp_1_champ_5, Rakan
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
